date,bitcoin_price,ethereum_price,btc_price,monero_price,dashpay_price,bitcoin_volume,ethereum_volume,btc_volume,monero_volume,dashpay_volume
01/22/21 11:00 AM,31377.26,1176.79,430.02,133.58,105.00361675,16922055.5543022,9900515.3204591,221754.401553247,2913.6226676249,141.4445306
01/22/21 12:00 PM,31778.58,1199.63,431.7,134.72,106.59668547,12185996.219346,6557080.54738082,128991.497551129,15967.2634526937,21.95893427
01/22/21 01:00 PM,31562.51,1204.22,431.28,134.27,107.7873726,23001117.0448929,11751271.4579909,253991.186942147,13267.758251835,29.44867851
01/22/21 02:00 PM,32191.8,1221.35,435.65,135.28,107.08806448,22169906.2233058,7736976.42386101,768512.296537514,13312.218506552,22.80196301
01/22/21 03:00 PM,32581.73,1235.51,444.43,136.05,106.97746088,21774617.6254573,9499255.2003089,588661.704100523,62592.942240995,0.90718701
01/22/21 04:00 PM,32516.16,1235.01,445.29,138.19,107.18283295,17032302.7055292,8342328.16712191,511901.159420892,9697.8402799154,143.78905488
01/22/21 05:00 PM,32414.85,1241.15,442.28,137.41,105.53,13249548.8740297,4208739.49239524,186593.052210255,4219.3480162158,6.10943236
01/22/21 06:00 PM,32350.39,1236.16,442.75,138.32,104.06083728,31915966.6476159,8205757.50581541,264759.202936622,8526.719386035,0
01/22/21 07:00 PM,33345.79,1263.9,447.67,138.31,104.07875629,27309772.101909,4397555.6143163,283104.735791155,16661.6057433034,11.29379554
01/22/21 08:00 PM,33656.83,1271.57,449.42,139.46,105.34706697,17907409.2427955,3925281.839125,153828.895344856,6005.6659280601,8.97579424
01/22/21 09:00 PM,33535.36,1249.9,445.66,138.92,104.27719711,10977289.5146993,2175739.20382574,364088.959700266,16397.5857171264,3.67072491
01/22/21 10:00 PM,33315.72,1245.45,443.1,138.49,106.08784374,7121459.76723127,2613359.55925391,104102.07265489,47629.4655353772,0.15
01/22/21 11:00 PM,32853.4,1226,438.5,135.65,106.77661104,10011849.2905346,2348852.85096953,209006.185819293,7902.8346612865,8.75590892
01/23/21 12:00 AM,32989.1,1232.26,439.8,135.13,107.17806023,7147359.68676287,3206009.93993445,142124.698861994,43590.5207477684,23.75481642
01/23/21 01:00 AM,32732.46,1229.34,435.29,135.57,106.64867062,10531044.1752689,2294836.5889006,100953.102559705,7983.551933784,150.84291416
01/23/21 02:00 AM,32702.43,1233.03,432.08,137.32,109.09463856,8920471.05490565,3411293.19864473,73463.3179577524,9299.8289675092,21.70269639
01/23/21 03:00 AM,32309.76,1220.86,429.06,136.72,109.12989729,4690769.23175903,1559795.84397657,89574.0807520152,2935.5397808541,21.87955429
01/23/21 04:00 AM,32375.42,1233.08,430.92,138.01,107.38678133,4272357.47430914,1039650.076372,165900.732605666,9607.1727492716,38.05638652
01/23/21 05:00 AM,32606.55,1246.56,434.1,138.18,105.45652724,9190299.44386829,1936338.6277521,127003.132537627,9220.1704155216,53.28412125
01/23/21 06:00 AM,33385.35,1265.73,437.99,139.87,103.06552174,6269125.07225881,1366116.55865388,110650.417710862,16716.9681174969,16.62449659
01/23/21 07:00 AM,32878.88,1255.7,437.61,140.02,103.11935961,7291401.74794326,1074367.59177407,78550.2558835694,3729.6708034536,7.99122247
01/23/21 08:00 AM,32948.9,1263.63,441.39,140,104.1977328,5445182.47481433,1645478.04556088,252750.009590893,8673.4803996864,5.58619473
01/23/21 09:00 AM,33004.91,1270,441.4,141.06,104.59041462,9031391.5067033,4209283.71748372,42572.9208747828,15029.5806519872,0.16421817
01/23/21 10:00 AM,32492.22,1257.81,433.47,139.18,104.66345159,6681088.5656978,3444944.68776421,67905.9619994604,6390.078191099,3.52858408
01/23/21 11:00 AM,32344.77,1245.9,430.31,138.14,106.18205397,14880046.1011662,5003548.65891782,289350.161682865,12887.7056651412,0
01/23/21 12:00 PM,31650.22,1219.38,421.75,136,106.52425316,6710875.08768297,3137648.25447177,95252.732682674,6136.1793951792,13.0633979
01/23/21 01:00 PM,31656.87,1220.6,422.76,136.15,105.38403161,11626489.373137,4856269.13264017,318245.541144598,12596.665170104,2.23006683
01/23/21 02:00 PM,31892.01,1236.29,428.15,137.62,105.76358774,5175206.97111186,1142801.85267722,84749.5652140875,3439.4197549986,4.69483567
01/23/21 03:00 PM,31705.15,1219.49,425.24,137.6,105.76358774,6138397.26744062,2039273.80304549,185631.026901808,3990.5064951975,0
01/23/21 04:00 PM,31878.81,1231.08,427.31,137.91,106.02630905,6455088.77225521,9381434.57684517,108374.704208028,5793.7181201756,0.29033721
01/23/21 05:00 PM,32146,1243.87,428.2,137.89,104.70007997,4980364.1614398,2863736.96316641,115463.849936709,2476.4086243638,2.17547202
01/23/21 06:00 PM,32250.13,1254.85,430.84,137.79,104.50293161,6178151.36196798,4718054.96393357,107173.73655779,24690.060991167,0.05
01/23/21 07:00 PM,32203.35,1249.67,431.71,139.05,104.9,5942308.20617565,3267247.5560664,45648.84075776,23992.0145184248,1
01/23/21 08:00 PM,32385.29,1259.6,434.79,139.95,105.33661511,5864276.47519551,1858012.59183681,58636.004707558,5281.9922678094,3.1411484
01/23/21 09:00 PM,32205.84,1252.2,433.43,139.59,106.6210358,7896636.91310027,2269900.25120597,88244.5918766676,25722.5123630587,20.10236697
01/23/21 10:00 PM,32368.22,1248.2,432.89,139.76,107.04669707,4805676.17282828,2418012.4900537,38202.379149231,7233.1509973086,11.86326362
01/23/21 11:00 PM,32085.61,1236.78,430.85,138.48,107.13751649,3818642.64552652,892597.336484479,68826.3631535936,20412.6412660722,10.0467
01/24/21 12:00 AM,32098.38,1233.88,427.8,138.95,108.27805014,4975274.72330684,2186441.10779776,97632.8007432291,6299.5272773168,5.01117493
01/24/21 01:00 AM,31904.32,1229.65,430.23,138.78,107.4,2562126.83777092,1711779.27024769,53892.3393853914,3429.4735685857,15.61248744
01/24/21 02:00 AM,31883.66,1238.95,427.24,139.02,107.0679541,3737984.46376868,4807181.23382179,46461.775827843,1320.5428987934,1.06625175
01/24/21 03:00 AM,32147.27,1257.88,431.11,139.81,107.44446498,6629476.91822167,3099139.60972684,37685.62452789,4270.772392332,0.01291633
01/24/21 04:00 AM,32489.59,1295,435.19,140.7,109.25608182,6691043.72848701,19758001.3216505,87127.1330883772,21494.274711101,32.16190422
01/24/21 05:00 AM,32840.16,1324.68,439.67,141.35,109.19011146,4365480.00168544,8078216.16288781,136722.334162778,34124.5766737728,167.04010285
01/24/21 06:00 AM,32902.08,1326.57,441.87,140.55,110.32706918,4479571.83098345,9052736.65530574,118621.856127763,3549.9416181212,5.68478452
01/24/21 07:00 AM,32782.32,1321.2,438.41,139.57,109.3861371,2214161.51185025,5198827.37255173,63006.52011248,4284.3163207911,37.153441
01/24/21 08:00 AM,32804.07,1315.08,438.51,139.67,107.62640348,6414738.39396063,9619167.52235056,29759.1773955,3261.0414925056,2.76823116
01/24/21 09:00 AM,32677.07,1327,438.19,139.99,107.60374229,4583379.4869267,30144894.075178,127090.023003763,8033.6740097406,2.35402165
01/24/21 10:00 AM,32664.38,1343.48,440.17,142.9,107.00166924,5385933.4810525,4065853.11829456,239407.628841117,2963.430420588,2.58873806
01/24/21 11:00 AM,32735.71,1342.37,448.51,142.38,105.17158291,4941230.51938747,4914227.91835819,162627.82829426,2769.2696886038,7.94943485
01/24/21 12:00 PM,32844.65,1344.84,447.92,141.62,106.52969957,8529343.06862015,2970407.94394681,236726.061217859,6998.6051891156,69.01346384
01/24/21 01:00 PM,32405.15,1327.17,435.53,140.18,106.07295546,5820121.75429478,3552522.86208528,127528.09893084,12449.1743180215,3.16261283
01/24/21 02:00 PM,32263.63,1323.2,437.14,139.55,104.11239196,5129995.09649301,5678941.90661441,43530.36168117,11064.765936406,89.30191944
01/24/21 03:00 PM,32108.63,1305.59,431.8,138.29,104.88726952,6113725.34682757,5533708.99386909,40463.7558163427,4407.1815308931,0.18049023
01/24/21 04:00 PM,31997.65,1321.9,435.36,139.17,105.49820065,11057743.681534,9397033.26634665,151248.41884578,6529.5727817724,6.09904205
01/24/21 05:00 PM,31770.73,1329.62,429.39,137.71,105.4308769,5248341.50116889,10426133.5186952,78038.2951894307,8005.1632265254,0.54282639
01/24/21 06:00 PM,31888.14,1358.74,433.46,138.16,105.55572565,2504485.66005796,4355720.12007671,144569.23630182,6549.3682449552,10.64937501
01/24/21 07:00 PM,31859.6,1349.29,433.67,138.08,107.3,22296973.2180497,8903059.53006954,160948.868380112,21277.8822858759,0
01/24/21 08:00 PM,31334.78,1327.34,425.59,135.62,108.36357492,8915789.42510766,4331454.11847736,74999.2570340041,20361.0996545476,44.14182614
01/24/21 09:00 PM,31683.81,1341.53,430.55,136.7,107.987665,4970098.64581632,2259844.95960928,26058.0496451511,6599.947018443,3.13626801
01/24/21 10:00 PM,31922.37,1352.18,431.96,136.7,107.90086656,5468955.1647912,10476470.4977362,317912.77776174,5024.4294191104,0.50760304
01/24/21 11:00 PM,32159.65,1370.83,434.84,137.37,108.87613393,6600208.58329025,9243550.25217705,78242.5153111455,4399.197438566,24.37757277
01/25/21 12:00 AM,32289.06,1393.86,440.2,138.2,108.10615647,11850587.3134129,35214471.4095914,408766.412987851,10826.4230298162,1.9981
01/25/21 01:00 AM,32606.47,1458,449.73,139.29,108.2,7076428.668189,7406186.21610107,324354.947500989,11262.217221966,11.21454458
01/25/21 02:00 AM,32866.44,1434.1,453.7,139.23,107.93878065,4995550.29078706,6119989.10991584,134321.580001853,2126.8241114676,43.39841058
01/25/21 03:00 AM,32831.39,1430.91,451.33,138.76,108.33449773,15432175.2587484,4015758.63882851,86769.1437272046,18135.2684723904,0.04934277
